noise_std,metric,n,mean,median,q25,q75,iqr,std,ci95_low,ci95_high
0.02,ssim_known,19,0.6552673672374926,0.6595335006713867,0.6360123157501221,0.6675877571105957,0.03157544136047363,0.018529650246199954,0.6463363617004438,0.6641983727745413
0.02,mae_missing,19,0.0008930554950462753,0.0008861438254825771,0.00030310933652799577,0.0012108964729122818,0.000907787136384286,0.0005890901968870444,0.0006091231088266107,0.0011769878812659398
0.02,rmse_missing,19,0.00824242999385062,0.00849147979170084,0.005107550183311105,0.010618670843541622,0.005511120660230517,0.003279162904132349,0.006661924066077,0.00982293592162424
0.02,psnr_missing,19,42.46231781808954,41.42033004760742,39.478742599487305,45.865962982177734,6.38722038269043,3.9991337769410644,40.534797037572694,44.38983859860638
0.02,ssim_missing,19,0.7667485883361415,0.767815887928009,0.7632888853549957,0.7694232165813446,0.006134331226348877,0.003833100478114698,0.7649010930440419,0.7685960836282411
0.05,known_fraction,19,0.6737130817614103,0.6744980812072754,0.6710429191589355,0.6755621433258057,0.004519224166870117,0.002652781090247967,0.6724344822039016,0.6749916813189191
0.05,realized_input_delta_rms_known,19,0.03703676517072477,0.03725847974419594,0.036296119913458824,0.03753157891333103,0.0012354589998722076,0.0007196090548456603,0.03668992470865749,0.03738360563279204
0.05,mae_all,19,0.015078513736003324,0.015324736014008522,0.014245416037738323,0.015548782888799906,0.0013033668510615826,0.0007865173355087533,0.014699424514939689,0.01545760295706696
0.05,rmse_all,19,0.0308404407022815,0.031160250306129456,0.029879669658839703,0.031369296833872795,0.0014896271750330925,0.0008929320818621306,0.03041006121527771,0.03127082018928529
0.05,psnr_all,19,30.22105477985583,30.127981185913086,30.06993293762207,30.492486000061035,0.42255306243896484,0.2524040744117073,30.09939991016357,30.34270964954809
0.05,ssim_all,19,0.3289465935606706,0.3332560360431671,0.3063625693321228,0.3437477797269821,0.037385210394859314,0.023239118990348084,0.31774569674819575,0.3401474903731454
0.05,mae_known,19,0.021917993496907383,0.022142263129353523,0.021050098352134228,0.022489522583782673,0.0014394242316484451,0.0008458125823286824,0.021510324881703374,0.022325662112111393
0.05,rmse_known,19,0.0370367637982494,0.03725847974419594,0.036296118050813675,0.03753157891333103,0.0012354608625173569,0.0007196089899047983,0.03668992336748261,0.03738360422901618
0.05,psnr_known,19,28.628902435302734,28.575496673583984,28.512065887451172,28.802812576293945,0.29074668884277344,0.1695600890381395,28.547177088415918,28.71062778218955
0.05,ssim_known,19,0.26848035580233526,0.2747078239917755,0.23720703274011612,0.28772473335266113,0.05051770061254501,0.030630917543330992,0.2537167261304543,0.2832439854742162
0.05,mae_missing,19,0.0009557090168910738,0.0009647017577663064,0.0003381315473234281,0.0012805290170945227,0.0009423974697710946,0.0006127166663598917,0.0006603890369025423,0.0012510289968796053
