case_id,path,noise_std,slice_count,sampling_strategy,input_delta_rms_known,output_delta_mae_all,output_delta_rmse_all,output_delta_psnr_all,output_delta_ssim_all,output_delta_mae_known,output_delta_rmse_known,output_delta_psnr_known,output_delta_ssim_known,output_delta_mae_missing,output_delta_rmse_missing,output_delta_psnr_missing,output_delta_ssim_missing,stability_ratio_all,stability_ratio_missing
liver_58,liver_58.nii.gz,0.02,64,fibonacci,0.014389121904969215,0.005544951651245356,0.01177837885916233,38.57828903198242,0.6732857823371887,0.008265065029263496,0.014389121904969215,36.83931350708008,0.6292564272880554,4.140297824051231e-05,0.0007117840577848256,62.953033447265625,0.7623695731163025,0.8185613366090618,0.049466816841617994
liver_21,liver_21.nii.gz,0.005,64,fibonacci,0.0037250465247780085,0.0014992391224950552,0.0030579189769923687,50.291481018066406,0.8934926390647888,0.0022104899398982525,0.0037250472232699394,48.57736587524414,0.8931584358215332,5.207098729442805e-05,0.0003791082708630711,68.42473602294922,0.8941724896430969,0.8209075931406261,0.10177276131756872
liver_21,liver_21.nii.gz,0.01,64,fibonacci,0.007426443975418806,0.002987605519592762,0.006096594966948032,44.29825210571289,0.8440524339675903,0.004405339248478413,0.007426441181451082,42.58438491821289,0.8335475325584412,0.00010297080734744668,0.0007600513054057956,62.383140563964844,0.8654263019561768,0.8209305809250681,0.10234390886426008
liver_21,liver_21.nii.gz,0.02,64,fibonacci,0.014854034408926964,0.005975615233182907,0.012191813439130783,38.27863311767578,0.6957623958587646,0.008812944404780865,0.01485403347760439,36.563114166259766,0.659083366394043,0.00020255852723494172,0.0014626409392803907,56.697242736816406,0.7703925371170044,0.8207745521178919,0.09846758793027799
liver_127,liver_127.nii.gz,0.005,64,fibonacci,0.003753755008801818,0.0015436082612723112,0.0030968347564339638,50.181636810302734,0.8959693908691406,0.002250146586447954,0.003753755474463105,48.51068115234375,0.8963676691055298,6.609024421777576e-05,0.0004234870139043778,67.46319580078125,0.8951363563537598,0.8249965032807135,0.11281690278438097
liver_127,liver_127.nii.gz,0.01,64,fibonacci,0.007508140057325363,0.0030868402682244778,0.006194820627570152,44.159427642822266,0.8471641540527344,0.004498995374888182,0.0075081405229866505,42.48935317993164,0.8380716443061829,0.00013373253750614822,0.0008611971279606223,61.29794692993164,0.8661787509918213,0.8250805899027066,0.11470179317185086
liver_127,liver_127.nii.gz,0.02,64,fibonacci,0.015002351254224777,0.00616078358143568,0.01237559039145708,38.148681640625,0.7009396553039551,0.008981334045529366,0.015002351254224777,36.47681427001953,0.6677464842796326,0.0002624291810207069,0.0016629553865641356,55.58238983154297,0.7703535556793213,0.8249100545470844,0.11084631724616063
liver_75,liver_75.nii.gz,0.005,64,fibonacci,0.0035711091477423906,0.0013748500496149063,0.0029328216332942247,50.65428924560547,0.8834762573242188,0.002037165453657508,0.003571108914911747,48.943939208984375,0.8802617192268372,5.916824648011243e-06,0.00014493426715489477,76.77657318115234,0.8901203870773315,0.8212635100073368,0.04058522469035156
liver_75,liver_75.nii.gz,0.01,64,fibonacci,0.007151266559958458,0.002755426801741123,0.005873142741620541,44.622589111328125,0.8281922340393066,0.004082610365003347,0.00715126795694232,42.91233825683594,0.8130348920822144,1.228409746545367e-05,0.00029433632153086364,70.62312316894531,0.8595207929611206,0.82127308391853,0.041158628204256656
liver_75,liver_75.nii.gz,0.02,64,fibonacci,0.014306711032986641,0.00550907151773572,0.011749000288546085,38.59998321533203,0.6653169393539429,0.008163196966052055,0.014306710101664066,36.88920593261719,0.6201556324958801,2.3284434064407833e-05,0.000543443369679153,65.29691314697266,0.7586603760719299,0.8212230093595024,0.03798520627320623
liver_86,liver_86.nii.gz,0.005,64,fibonacci,0.0037711753975600004,0.0015605679946020246,0.0031144495587795973,50.13237380981445,0.8974270820617676,0.0022667439188808203,0.0037711758632212877,48.470462799072266,0.8980202078819275,7.701111462665722e-05,0.0004470951098483056,66.99200439453125,0.8961812257766724,0.8258564586507132,0.11855590438397057
liver_86,liver_86.nii.gz,0.01,64,fibonacci,0.007523315493017435,0.0031128893606364727,0.006213617976754904,44.13311004638672,0.8497874736785889,0.004521136172115803,0.007523315958678722,42.4718132019043,0.8412308096885681,0.0001543978287372738,0.0009013714734464884,60.90192413330078,0.8677635192871094,0.8259148486490973,0.11981040463916107
liver_86,liver_86.nii.gz,0.02,64,fibonacci,0.015066537074744701,0.006237289402633905,0.012444469146430492,38.10047149658203,0.7056623697280884,0.009058178402483463,0.015066538006067276,36.43973159790039,0.6737896800041199,0.0003110752732027322,0.0018219767371192575,54.78914260864258,0.7726216316223145,0.8259674459163245,0.12092869967932764
liver_7,liver_7.nii.gz,0.005,64,fibonacci,0.0037595503963530064,0.0015310863964259624,0.003086474724113941,50.21074676513672,0.8963158130645752,0.002254067687317729,0.0037595501635223627,48.49728012084961,0.8967652320861816,6.498368020402268e-05,0.0004268182092346251,67.3951416015625,0.8954044580459595,0.8209691050046862,0.11352905646607765
liver_7,liver_7.nii.gz,0.01,64,fibonacci,0.007515097502619028,0.003061676397919655,0.006169741041958332,44.19466018676758,0.8482203483581543,0.004507864359766245,0.00751509889960289,42.48130798339844,0.8388531804084778,0.00012901266745757312,0.0008548651821911335,61.36204528808594,0.8672158718109131,0.8209795068937115,0.11375303938414785
liver_7,liver_7.nii.gz,0.02,64,fibonacci,0.01502047386020422,0.006116753444075584,0.012332274578511715,38.17913818359375,0.7042006254196167,0.009006446227431297,0.01502047386020422,36.46632766723633,0.6699370741844177,0.00025686522712931037,0.0017254891572520137,55.261756896972656,0.7736822962760925,0.8210309936482952,0.11487581372672845
liver_60,liver_60.nii.gz,0.005,64,fibonacci,0.0036288248375058174,0.0014137793332338333,0.002975685987621546,50.52825927734375,0.8867395520210266,0.0020981482230126858,0.0036288253031671047,48.80467987060547,0.8845089673995972,1.722116030578036e-05,0.00022808824724052101,72.83794403076172,0.8912914991378784,0.820013674087066,0.06285457619312697
liver_60,liver_60.nii.gz,0.01,64,fibonacci,0.007229550741612911,0.0028144808020442724,0.005929612088948488,44.53947448730469,0.8341180086135864,0.004176259972155094,0.0072295512072741985,42.817771911621094,0.8206129670143127,3.5565506550483406e-05,0.0005027006845921278,65.97380828857422,0.861677348613739,0.8201909497388206,0.06953415261319203
liver_60,liver_60.nii.gz,0.02,64,fibonacci,0.014486990869045258,0.005642914678901434,0.01188013143837452,38.50357437133789,0.6762669086456299,0.008374063298106194,0.014486992731690407,36.78043746948242,0.6339206099510193,6.959590973565355e-05,0.000934102397877723,60.59210968017578,0.7626808881759644,0.8200551478056851,0.06447870412299662
liver_101,liver_101.nii.gz,0.005,64,fibonacci,0.0037901524920016527,0.0015794665087014437,0.003127891104668379,50.094966888427734,0.8994812965393066,0.0022934761364012957,0.003790152259171009,48.42686462402344,0.9004495143890381,9.302597754867747e-05,0.0004957087221555412,66.09546661376953,0.8974656462669373,0.8252678780785623,0.13078859576273877
