case_id,path,model_label,weight_path,slice_count,known_fraction,mae_all,rmse_all,psnr_all,ssim_all,mae_known,rmse_known,psnr_known,ssim_known,mae_missing,rmse_missing,psnr_missing,ssim_missing
liver_101,liver_101.nii.gz,last_checkpoint,runs\ablation_final_128\standard_unet3d_no_partialconv\train\checkpoints\last.pt,64,0.6755166053771973,0.0006428773049265146,0.007762976456433535,42.19943618774414,0.9118931889533997,3.834188799789473e-10,1.000006818685506e-06,119.99993896484375,0.9165675640106201,0.001981232315301895,0.013627997599542141,37.31135940551758,0.9021627306938171
liver_23,liver_23.nii.gz,best_model,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,64,0.6744980812072754,0.00019919208716601133,0.004048516508191824,47.85408020019531,0.9095789790153503,2.8791358186452953e-10,1.0000049996961025e-06,119.99995422363281,0.9130334258079529,0.0006119530298747122,0.007096089888364077,42.979618072509766,0.9024209976196289
liver_23,liver_23.nii.gz,last_checkpoint,runs\ablation_final_128\standard_unet3d_no_partialconv\train\checkpoints\last.pt,64,0.6744980812072754,0.00019778532441705465,0.004028237424790859,47.89769744873047,0.9095975160598755,2.8791358186452953e-10,1.0000049996961025e-06,119.99995422363281,0.9130536913871765,0.00060763128567487,0.00706054549664259,43.023231506347656,0.9024361968040466
liver_25,liver_25.nii.gz,best_model,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,64,0.6709628105163574,0.000354372663423419,0.006192706059664488,44.162391662597656,0.9108642339706421,3.808031112662036e-10,1.0000069323723437e-06,119.99993896484375,0.9149707555770874,0.0010769979562610388,0.010795878246426582,39.3348388671875,0.9024906754493713
liver_25,liver_25.nii.gz,last_checkpoint,runs\ablation_final_128\standard_unet3d_no_partialconv\train\checkpoints\last.pt,64,0.6709628105163574,0.00035121681867167354,0.00617556506767869,44.18647003173828,0.9108865261077881,3.808031112662036e-10,1.0000069323723437e-06,119.99993896484375,0.9149916172027588,0.001067406963557005,0.01076599583029747,39.358917236328125,0.9025164842605591
liver_39,liver_39.nii.gz,best_model,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,64,0.6765241622924805,0.00032438841299153864,0.005446551833301783,45.277565002441406,0.9107674360275269,3.387820579625611e-10,1.0000062502513174e-06,119.99993896484375,0.9144504070281982,0.0010028204414993525,0.009576365351676941,40.37598419189453,0.9030652046203613
liver_39,liver_39.nii.gz,last_checkpoint,runs\ablation_final_128\standard_unet3d_no_partialconv\train\checkpoints\last.pt,64,0.6765241622924805,0.00032165326410904527,0.005436152685433626,45.294166564941406,0.9107871055603027,3.387820579625611e-10,1.0000062502513174e-06,119.99993896484375,0.9144708514213562,0.0009943650802597404,0.00955808162689209,40.39258575439453,0.9030834436416626
liver_98,liver_98.nii.gz,best_model,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,64,0.6743278503417969,0.0006122775375843048,0.00728105241432786,42.75611877441406,0.9131498336791992,3.944192195071139e-10,1.0000072734328569e-06,119.99993133544922,0.917935311794281,0.0018800419056788087,0.012758624739944935,37.8839225769043,0.9032415151596069
liver_98,liver_98.nii.gz,last_checkpoint,runs\ablation_final_128\standard_unet3d_no_partialconv\train\checkpoints\last.pt,64,0.6743278503417969,0.0006117945304140449,0.007282629609107971,42.754234313964844,0.9131553173065186,3.944192195071139e-10,1.0000072734328569e-06,119.99993133544922,0.9179458618164062,0.0018785588908940554,0.012761387974023819,37.882041931152344,0.903236448764801

