case_id,path,noise_std,slice_count,sampling_strategy,known_fraction,realized_input_delta_rms_known,mae_all,rmse_all,psnr_all,ssim_all,mae_known,rmse_known,psnr_known,ssim_known,mae_missing,rmse_missing,psnr_missing,ssim_missing
liver_84,liver_84.nii.gz,0.0,64,fibonacci,0.675717830657959,0.0,0.0005874210619367659,0.007307866122573614,42.72418975830078,0.9114660620689392,3.1100191866251237e-10,1.000005227069778e-06,119.99995422363281,0.9160401225090027,0.0018114495323970914,0.012833025306463242,37.83341979980469,0.9019355177879333
liver_84,liver_84.nii.gz,0.01,64,fibonacci,0.675717830657959,0.007579177618026733,0.003681557485833764,0.009570399299263954,40.38139724731445,0.8477178812026978,0.004583476111292839,0.007579177618026733,42.407562255859375,0.8400282263755798,0.001802199287340045,0.0127573162317276,37.88481140136719,0.8637405037879944
liver_84,liver_84.nii.gz,0.02,64,fibonacci,0.675717830657959,0.015140310861170292,0.0067663295194506645,0.014403263106942177,36.83078384399414,0.7073935866355896,0.00914789829403162,0.015140311792492867,36.39730453491211,0.6775160431861877,0.001803775317966938,0.01273108646273613,37.90269088745117,0.7696503400802612
liver_84,liver_84.nii.gz,0.05,64,fibonacci,0.675717830657959,0.03783377259969711,0.01607055589556694,0.03200022131204605,29.896942138671875,0.3581458330154419,0.022869190201163292,0.03783377259969711,28.442405700683594,0.308336466550827,0.0019040136830881238,0.013234126381576061,37.56609344482422,0.4619354009628296
liver_18,liver_18.nii.gz,0.0,64,fibonacci,0.6755585670471191,0.0,0.00029342802008613944,0.004854104015976191,46.27781677246094,0.9111515283584595,3.4482025568216557e-10,1.0000059091908042e-06,119.99995422363281,0.9151914119720459,0.0009044090984389186,0.00852198712527752,41.389183044433594,0.9027400016784668
liver_18,liver_18.nii.gz,0.01,64,fibonacci,0.6755585670471191,0.0074928877875208855,0.0033189456444233656,0.0078055402263998985,42.15194320678711,0.84454345703125,0.004487555008381605,0.007492887321859598,42.507015228271484,0.8352966904640198,0.0008856426575221121,0.008419377729296684,41.49440002441406,0.8637973666191101
liver_18,liver_18.nii.gz,0.02,64,fibonacci,0.6755585670471191,0.014992350712418556,0.006354400422424078,0.013227046467363834,37.57073974609375,0.6971681118011475,0.008980565704405308,0.014992350712418556,36.48260498046875,0.663239061832428,0.0008861438254825771,0.008439629338681698,41.473533630371094,0.767815887928009
liver_18,liver_18.nii.gz,0.05,64,fibonacci,0.6755585670471191,0.037448491901159286,0.015472023747861385,0.031178999692201614,30.122756958007812,0.33435875177383423,0.02243926003575325,0.03744848817586899,28.531314849853516,0.2769216299057007,0.0009647017577663064,0.0087312962859869,41.178428649902344,0.4539555609226227
liver_58,liver_58.nii.gz,0.0,64,fibonacci,0.6692333221435547,0.0,6.249554280657321e-05,0.002433144487440586,52.27664566040039,0.9046799540519714,1.5403098241328905e-10,1.0000030670198612e-06,119.99996948242188,0.906486988067627,0.00018894116510637105,0.004230648744851351,47.47186279296875,0.9010245203971863
liver_58,liver_58.nii.gz,0.01,64,fibonacci,0.6692333221435547,0.007206966634839773,0.0028342697769403458,0.00636754697188735,43.920555114746094,0.8312129974365234,0.004143388941884041,0.007206967566162348,42.844947814941406,0.8167011737823486,0.00018555534188635647,0.004182215314358473,47.57187271118164,0.8605743050575256
