case_id,path,slice_count,repeat_index,geometry_seed,known_fraction,mae_all,rmse_all,psnr_all,ssim_all,mae_known,rmse_known,psnr_known,ssim_known,mae_missing,rmse_missing,psnr_missing,ssim_missing
liver_101,liver_101.nii.gz,16,2,95050274,0.25887250900268555,0.004031833726912737,0.023725047707557678,32.49585723876953,0.8772016167640686,6.381168510261048e-11,1.0000010206567822e-06,119.99999237060547,0.8975343108177185,0.005440135020762682,0.0275588221848011,31.194786071777344,0.870099663734436
liver_101,liver_101.nii.gz,16,3,896788819,0.26125621795654297,0.0038596477825194597,0.02316209115087986,32.704444885253906,0.8800797462463379,5.895452181992056e-11,1.0000009069699445e-06,119.99999237060547,0.8963223099708557,0.0052246092818677425,0.026948267593979836,31.389385223388672,0.8743357062339783
liver_101,liver_101.nii.gz,16,4,2323802720,0.2506103515625,0.005274167284369469,0.03254786506295204,29.749547958374023,0.8689563870429993,5.561130375641987e-11,1.0000009069699445e-06,119.99999237060547,0.8950867652893066,0.0070379506796598434,0.03759834170341492,28.496625900268555,0.8602180480957031
liver_101,liver_101.nii.gz,16,5,4111479334,0.2508707046508789,0.00439852848649025,0.02718309685587883,31.31402015686035,0.875968337059021,4.9039616117907414e-11,1.0000007932831068e-06,119.99999237060547,0.8966174721717834,0.005871521309018135,0.031406573951244354,30.059587478637695,0.8690536022186279
liver_101,liver_101.nii.gz,16,6,3227053442,0.2525806427001953,0.00382986874319613,0.022798718884587288,32.841793060302734,0.8793631196022034,6.479874276044129e-11,1.0000010206567822e-06,119.99999237060547,0.8971356153488159,0.0051241228356957436,0.026371100917458534,31.577434539794922,0.8733572959899902
liver_101,liver_101.nii.gz,16,7,852332099,0.25846290588378906,0.0038837480824440718,0.02314014919102192,32.712677001953125,0.8790881037712097,5.7229148503479266e-11,1.0000009069699445e-06,119.99999237060547,0.8967236280441284,0.005237429402768612,0.026871981099247932,31.414005279541016,0.8729413747787476
liver_101,liver_101.nii.gz,32,0,1663469042,0.42368364334106445,0.002380872145295143,0.017943812534213066,34.92170715332031,0.8952174782752991,1.675240779430709e-10,1.000002725959348e-06,119.99998474121094,0.9091088175773621,0.004131189547479153,0.023636559024453163,32.52831268310547,0.8850054740905762
liver_101,liver_101.nii.gz,32,1,1523336099,0.41294097900390625,0.002054102485999465,0.015331356786191463,36.288387298583984,0.898213267326355,1.9867427147879368e-10,1.0000032943935366e-06,119.99996948242188,0.9097179770469666,0.0034989705309271812,0.020009661093354225,33.97520446777344,0.8901211023330688
liver_101,liver_101.nii.gz,32,2,3377695461,0.43272972106933594,0.002121425000950694,0.015968531370162964,35.93470001220703,0.8977782726287842,1.6524105694859514e-10,1.0000026122725103e-06,119.99998474121094,0.9090912342071533,0.0037397071719169617,0.021201662719249725,33.47260284423828,0.8891486525535583
liver_101,liver_101.nii.gz,32,3,1040750057,0.42249631881713867,0.0021253428421914577,0.015778714790940285,36.03856658935547,0.8983936905860901,1.7677999342158301e-10,1.0000028396461857e-06,119.99996948242188,0.909295916557312,0.0036802238319069147,0.020763197913765907,33.65411376953125,0.8904179334640503
