case_id,path,slice_count,sampling_strategy,known_fraction,mae_all,rmse_all,psnr_all,ssim_all,mae_known,rmse_known,psnr_known,ssim_known,mae_missing,rmse_missing,psnr_missing,ssim_missing
liver_86,liver_86.nii.gz,32,fibonacci,0.43405723571777344,0.001554560149088502,0.012632925063371658,37.96992111206055,0.9012351036071777,1.5111761841879456e-10,1.0000023848988349e-06,119.99998474121094,0.9104576706886292,0.0027468500193208456,0.01679258979856968,35.49764633178711,0.8941618800163269
liver_86,liver_86.nii.gz,64,fibonacci,0.6775059700012207,0.0004511564038693905,0.00602608360350132,44.399295806884766,0.9116290211677551,3.524373570762407e-10,1.000006022877642e-06,119.99993896484375,0.915787935256958,0.0013989597791805863,0.010611440055072308,39.48451232910156,0.9028921723365784
liver_86,liver_86.nii.gz,128,fibonacci,0.8886523246765137,0.00011615264520514756,0.00317631964571774,49.96151351928711,0.9139131903648376,5.614404496867564e-10,1.0000089787354227e-06,119.99992370605469,0.9154285192489624,0.00104314845521003,0.00951883103698492,40.42832946777344,0.9018203616142273
liver_7,liver_7.nii.gz,4,fibonacci,0.0723257064819336,0.0073053850792348385,0.038917843252420425,28.197023391723633,0.8447505235671997,1.9648414568539802e-13,9.999999974752427e-07,120.0,0.8724484443664551,0.007874946109950542,0.0404064804315567,27.87097930908203,0.8425911664962769
liver_7,liver_7.nii.gz,8,fibonacci,0.1360001564025879,0.0045452481135725975,0.027926532551646233,31.07965850830078,0.8673141002655029,1.5941477304881602e-11,1.0000002248489182e-06,120.0,0.8900497555732727,0.005260705016553402,0.03004416823387146,30.444795608520508,0.8637354373931885
liver_7,liver_7.nii.gz,16,fibonacci,0.2543601989746094,0.002328047761693597,0.01602165214717388,35.905853271484375,0.8905092477798462,4.331682235125811e-11,1.000000679596269e-06,119.99999237060547,0.9005491733551025,0.003122214926406741,0.018554221838712692,34.63114547729492,0.8870844841003418
liver_7,liver_7.nii.gz,32,fibonacci,0.4300565719604492,0.001219312660396099,0.010539931245148182,39.543243408203125,0.9023836851119995,1.4258236258335444e-10,1.0000022712119971e-06,119.99998474121094,0.9104027152061462,0.002139357151463628,0.013961173593997955,37.1015625,0.8963331580162048
liver_7,liver_7.nii.gz,64,fibonacci,0.6697335243225098,0.00037214759504422545,0.00560116907581687,45.034427642822266,0.91084885597229,3.0923824612116846e-10,1.0000053407566156e-06,119.99995422363281,0.915117084980011,0.001126809511333704,0.009746449068188667,40.22307586669922,0.9021939039230347
liver_7,liver_7.nii.gz,128,fibonacci,0.8833937644958496,9.414000669494271e-05,0.0029907592106610537,50.484371185302734,0.9129542708396912,4.78519446289738e-10,1.0000077281802078e-06,119.99993133544922,0.9145125150680542,0.0008073289645835757,0.008758313953876495,41.151588439941406,0.9011502265930176
liver_60,liver_60.nii.gz,4,fibonacci,0.07311058044433594,0.0032403264194726944,0.0261195357888937,31.660690307617188,0.8740156888961792,9.718740569264472e-13,9.999999974752427e-07,120.0,0.8862404823303223,0.003495914861559868,0.02713010646402836,31.330968856811523,0.8730515241622925
